POSTNR,HEITI_NF,HEITI_TGF
101,Eiríksgata 6,Eiríksgötu 6
101,Eiríksgata 8,Eiríksgötu 8
101,Eiríksgata 9,Eiríksgötu 9
101,Engey,Engey
101,Eyjar,Eyjum
101,Eyjargarður 1,Eyjargarði 1
101,Eyjargarður 2,Eyjargarði 2
101,Eyjarslóð 1,Eyjarslóð 1
101,Eyjarslóð 11,Eyjarslóð 11
101,Eyjarslóð 11A,Eyjarslóð 11A
101,Eyjarslóð 3,Eyjarslóð 3
101,Eyjarslóð 5,Eyjarslóð 5
101,Eyjarslóð 7,Eyjarslóð 7
101,Eyjarslóð 9,Eyjarslóð 9
101,Faxagarður 1,Faxagarði 1
101,Fischersund 1,Fischersundi 1
101,Fischersund 3,Fischersundi 3
101,Fiskislóð 1,Fiskislóð 1
101,Fiskislóð 10,Fiskislóð 10
101,Fiskislóð 11,Fiskislóð 11
101,Fiskislóð 12,Fiskislóð 12
101,Fiskislóð 13,Fiskislóð 13
101,Fiskislóð 14,Fiskislóð 14
101,Fiskislóð 15,Fiskislóð 15
101,Fiskislóð 16,Fiskislóð 16
101,Fiskislóð 18,Fiskislóð 18
101,Fiskislóð 2,Fiskislóð 2
101,Fiskislóð 20,Fiskislóð 20
101,Fiskislóð 22,Fiskislóð 22
101,Fiskislóð 23,Fiskislóð 23
101,Fiskislóð 23A,Fiskislóð 23A
101,Fiskislóð 24,Fiskislóð 24
101,Fiskislóð 26,Fiskislóð 26
101,Fiskislóð 27,Fiskislóð 27
101,Fiskislóð 28,Fiskislóð 28
101,Fiskislóð 29,Fiskislóð 29
101,Fiskislóð 29A,Fiskislóð 29A
101,Fiskislóð 3,Fiskislóð 3
101,Fiskislóð 30,Fiskislóð 30
101,Fiskislóð 31,Fiskislóð 31
101,Fiskislóð 32,Fiskislóð 32
