UTGDAG,SVFN,POSTNR,KAUPVERD,EINFLM,FERMETRAVERD,TEGUND
2006-05,0,112,26300000,"136,8",192251,Fjölbýli
2006-05,0,111,17000000,"106,6",159475,Fjölbýli
2006-05,8613,861,13100000,"188,9",69349,Einbýli
2006-05,1300,210,37800000,"120,6",313433,Fjölbýli
2006-05,1400,221,16100000,"81,6",197304,Fjölbýli
2006-05,0,111,13800000,"72,5",190345,Fjölbýli
2006-05,6000,600,17500000,"137,9",126904,Fjölbýli
2006-05,7300,730,15320000,"81,0",189136,Fjölbýli
2006-05,7300,730,12420000,"63,8",194671,Fjölbýli
2006-05,7300,730,15420000,"79,9",192991,Fjölbýli
2006-05,7300,730,15390000,"81,3",189299,Fjölbýli
2006-05,7300,730,15400000,"82,4",186893,Fjölbýli
2006-05,0,109,14000000,"78,6",178117,Fjölbýli
2006-05,0,110,31000000,"139,6",222063,Fjölbýli
2006-05,3716,340,19500000,"160,0",121875,Einbýli
2006-05,6000,603,12300000,"74,3",165545,Fjölbýli
2006-04,6000,603,24000000,"135,3",177384,Sérbýli
2006-05,6000,600,14900000,"98,3",151577,Fjölbýli
2006-05,8200,800,20100000,"104,9",191611,Sérbýli
2006-05,8200,800,14500000,"70,4",205966,Fjölbýli
2006-05,8716,810,19200000,"108,4",177122,Einbýli
2006-05,2000,230,22600000,"125,3",180367,Fjölbýli
2006-05,2000,230,35500000,"188,1",188729,Sérbýli
2006-05,2510,250,19500000,"168,6",115658,Einbýli
2006-05,7300,730,12670000,"63,6",199214,Fjölbýli
2006-05,7300,730,15490000,"82,8",187077,Fjölbýli
2006-05,7300,740,11450000,"122,1",93776,Fjölbýli
2006-05,0,113,20800000,"103,1",201746,Fjölbýli
2006-05,0,107,45000000,"217,1",207278,Fjölbýli
2006-05,6000,600,26000000,"191,4",135841,Fjölbýli
2006-05,1000,200,18700000,"86,2",216937,Fjölbýli
2006-05,0,105,14700000,"66,5",221053,Fjölbýli
2006-05,0,112,21500000,"98,8",217611,Fjölbýli
2006-05,3609,310,21800000,"132,0",165152,Einbýli
2006-04,2000,230,16500000,"115,5",142857,Fjölbýli
2006-05,1000,201,17150000,"70,6",242918,Fjölbýli
2006-05,0,112,32000000,"151,2",211640,Fjölbýli
2006-05,0,101,21750000,"88,2",246599,Fjölbýli
2006-05,1400,221,29400000,"133,9",219567,Fjölbýli
2006-05,8200,800,29500000,"190,0",155263,Einbýli
2006-05,1400,220,12800000,"62,9",203498,Fjölbýli
2006-05,1400,221,17400000,"79,9",217772,Fjölbýli
2006-05,0,105,24700000,"111,1",222322,Fjölbýli
2006-05,0,107,17650000,"80,4",219527,Fjölbýli
2006-05,8000,900,14300000,"146,3",97744,Sérbýli
2006-05,0,101,17500000,"88,7",197294,Fjölbýli
2006-05,0,109,17300000,"100,2",172655,Fjölbýli
2006-05,0,109,41500000,"215,4",192665,Einbýli
2006-05,4100,415,1500000,"65,2",23006,Fjölbýli
2006-05,4100,415,1500000,"65,2",23006,Fjölbýli
