FAERSLUNUMER,FASTNUM,HEIMILISFANG,POSTNR,UTGDAG,KAUPVERD,FASTEIGNAMAT,FASTEIGNAMAT_GILDANDI,BYGGAR,EINFLM,FJHERB
606773,2316764,Kjóaland 14,250,2016-05-11,28000,19200,56000,2016,"124,5",2
606775,2315650,Austurkór 117,203,2016-05-11,55900,46600,117000,2014,"150,0",3
606776,2312899,Stórikriki 47,270,2016-05-12,72000,67300,181150,2009,"301,6",4
606777,2079128,Smyrlahraun 32,220,2016-05-04,39000,38950,105150,1965,"173,7",4
606778,2132557,Flæðagerði 6,550,2016-05-17,4500,5639,9597,1993,"128,1",
606779,2290137,Ásatún 40,600,2016-05-09,29500,1935,54150,    ,"86,2",2
606780,2275611,Skógarsel 18,700,2016-04-25,28250,28100,70200,2004,"163,4",3
606782,2059497,Digranesvegur 1,200,2016-04-29,585000,295200,585750,2006,"2056,4",
606783,2265733,Katrínarlind 3,113,2016-05-12,32400,27500,63850,2004,"94,6",2
606784,2079698,Suðurgata 17,220,2016-05-06,31000,28200,73450,1989,"117,7",3
606785,2025626,Flyðrugrandi 18,107,2016-05-12,31500,25550,56600,1979,"67,8",2
606786,2274758,Móhella 4B,221,2016-05-11,4200,3330,10300,2006,"26,3",
606787,2256992,Mánatún 6,105,2016-05-13,28500,25050,54000,2001,"62,2",1
606788,2121454,Holtastígur 22,415,2016-05-13,13300,11700,37800,1977,"131,5",3
606789,2200332,Túngata 61,820,2016-05-13,23750,23950,61300,1958,"261,3",5
606790,2185533,Bakkatjörn 6,800,2016-05-06,29500,25200,72900,1992,"136,5",2
606791,2013281,Skipholt 51,105,2016-05-09,32000,28350,66850,1963,"109,7",2
606792,2313674,Lofnarbrunnur 16,113,2016-04-25,26000,2860,76300,    ,"107,4",2
606793,2313673,Lofnarbrunnur 16,113,2016-04-25,40000,3400,90450,    ,"137,6",3
606794,2313185,Bjarkavellir 1C,221,2016-05-17,27100,8880,49500,2016,"63,5",1
606795,2072778,Álfaskeið 39,220,2016-05-12,30700,26200,70800,1947,"120,3",2
606796,2022045,Ljósheimar 2,104,2016-05-13,33900,26200,60900,1965,"86,1",2
606797,2274512,17. Júnítorg 5,210,2016-05-04,29300,27150,61850,2006,"76,5",1
606798,2101922,Kirkjubraut 5,300,2016-05-13,12500,10550,21850,1943,"110,3",
606799,2287218,Seljabraut 54,109,2016-05-06,16200,10900,30600,1974,"40,5",0
